PROVINSI;TAHUN;KEJADIAN BANJIR;RUSAK BERAT;RUSAK SEDANG;RUSAK RINGAN;TERENDAM;CURAH HUJAN;HARI HUJAN
Aceh;2011;26;334;0;2.399;13.396;1.268;150
Sumatera Utara;2011;31;12;0;1.865;12.021;2.042;225
Sumatera Barat;2011;15;92;0;3.879;13.906;;
Riau;2011;7;49;0;509;2.353;2.405;211
Jambi;2011;12;0;0;290;3.392;2.295;209
Sumatera Selatan;2011;6;0;0;0;204;2.593;217
Bengkulu;2011;4;6;0;92;378;;
Lampung;2011;5;3;0;2;35;1.568;118
Kepulauan Bangka Belitung;2011;;;;;;2.921;213
Kepulauan Riau;2011;3;0;0;25;120;3.893;205
DKI Jakarta;2011;8;0;0;229;1.649;1.274;
Jawa Barat;2011;45;707;1.273;2.647;20.015;1.789;215
Jawa Tengah;2011;141;935;119;1.735;27.649;1.879;174
DI Yogyakarta;2011;8;39;0;5;1.496;2.285;170
Jawa Timur;2011;100;85;31;2.282;55.554;1.790;
Banten;2011;11;1;0;100;3.940;1.141;165
Bali;2011;8;10;1;4;782;1.890;174
Nusa Tenggara Barat;2011;14;613;48;4.605;6.103;;
Nusa Tenggara Timur;2011;23;3.183;16;6.680;3.025;1.699;140
Kalimantan Barat;2011;3;0;0;21;85;3.129;196
Kalimantan Tengah;2011;3;0;0;113;167;3.435;218
Kalimantan Selatan;2011;8;0;0;0;3.852;2.751;195
Kalimantan Timur;2011;13;0;0;1.492;11.869;2.990;231
Kalimantan Utara;2011;;;;;;;
Sulawesi Utara;2011;9;371;253;1.049;0;3.031;276
Sulawesi Tengah;2011;12;518;80;283;931;667;
Sulawesi Selatan;2011;19;19;0;2;4.032;3.465;176
Sulawesi Tenggara;2011;4;47;0;71;702;1.511;121
Gorontalo;2011;13;494;0;402;2.049;2.272;215
Sulawesi Barat;2011;3;0;0;50;210;1.660;175
Maluku;2011;9;44;7;235;420;3.988;257
Maluku Utara;2011;6;31;29;81;100;2.962;239
Papua Barat;2011;2;0;0;25;150;2.681;246
Papua;2011;2;0;0;300;3.626;2.226;196
Aceh;2012;38;278;12;1.021;15;1.098;137
Sumatera Utara;2012;43;191;24;338;2.327;3.175;227
Sumatera Barat;2012;38;167;139;954;3.848;4.339;230
Riau;2012;2;0;0;0;0;2.636;217
Jambi;2012;21;40;0;1.137;15.223;1.874;191
Sumatera Selatan;2012;34;1;0;0;20.302;3.083;194
Bengkulu;2012;7;16;0;0;609;2.545;143
Lampung;2012;19;40;0;110;841;1.685;143
Kepulauan Bangka Belitung;2012;;;;;;2.018;195
Kepulauan Riau;2012;5;328;21;2;0;3.253;202
DKI Jakarta;2012;7;6;0;0;4.560;1.570;139
Jawa Barat;2012;46;129;37;945;15.467;2.510;219
Jawa Tengah;2012;77;71;1.653;376;23.167;2.248;164
DI Yogyakarta;2012;8;3;0;164;46;2.014;163
Jawa Timur;2012;44;23;13;20;18.025;1.389;
Banten;2012;9;95;0;127;26.771;1.197;171
Bali;2012;6;0;0;8;33;1.849;132
Nusa Tenggara Barat;2012;21;139;1.041;572;3.107;2.137;153
Nusa Tenggara Timur;2012;5;3;0;6;222;1.211;88
Kalimantan Barat;2012;6;0;0;20;2.031;3.081;218
Kalimantan Tengah;2012;8;0;0;0;13;2.596;210
Kalimantan Selatan;2012;16;3;2;19;154;2.486;225
Kalimantan Timur;2012;22;39;0;24;12;2.421;231
Kalimantan Utara;2012;;;;;;;
Sulawesi Utara;2012;3;73;0;25;976;3.013;230
Sulawesi Tengah;2012;10;222;0;293;763;760;
Sulawesi Selatan;2012;17;178;0;957;10.280;2.493;191
Sulawesi Tenggara;2012;37;198;4;2.363;2.315;;
Gorontalo;2012;16;23;2;80;2.503;1.775;207
Sulawesi Barat;2012;4;6;0;0;0;1.087;165
Maluku;2012;5;625;304;204;7.437;5.041;226
Maluku Utara;2012;2;91;0;113;652;;
Papua Barat;2012;;;;;;3.290;256
Papua;2012;8;214;0;20;306;1.916;219
Aceh;2013;38;300;28;816;52.817;1.624;151
Sumatera Utara;2013;32;7;0;32;17.836;2.627;218
Sumatera Barat;2013;22;34;5;0;1.811;4.627;232
Riau;2013;14;0;0;5.042;3.875;2.629;214
Jambi;2013;17;4;0;1.271;9.440;2.094;229
Sumatera Selatan;2013;32;2;0;1;17.412;3.409;238
Bengkulu;2013;8;5;0;0;438;3.981;250
Lampung;2013;19;2;93;43;5.543;2.457;198
Kepulauan Bangka Belitung;2013;8;0;0;0;1.123;2.839;243
Kepulauan Riau;2013;7;12;10;180;30;3.389;227
DKI Jakarta;2013;26;3;0;952;14.390;2.525;172
Jawa Barat;2013;94;474;308;1.019;59.200;2.682;240
Jawa Tengah;2013;47;57;1;23;29.068;2.628;187
DI Yogyakarta;2013;9;1;0;5;411;2.309;149
